balanced_accuracy,macro_recall,macro_f1,T1_recall,T2_recall,T3_recall,T4_recall,T4_precision,T4_f1,n_pred_T4,pair,weight_a_petaware,weight_b_final,thr_ge_T2,thr_ge_T3,thr_ge_T4
0.5718178436934473,0.5718178436934473,0.5584968778235183,0.7065868263473054,0.5232974910394266,0.45054945054945056,0.6068376068376068,0.5338345864661654,0.5680000000000001,133,fair_hu_geom_petaware_final,0.15,0.85,0.64,0.46,0.35
0.5717842643909864,0.5717842643909864,0.5306353829237125,0.7245508982035929,0.43010752688172044,0.34615384615384615,0.7863247863247863,0.4816753926701571,0.5974025974025974,191,fair_hu_petaware_final,0.75,0.25,0.63,0.4,0.3
0.5717842643909864,0.5717842643909864,0.5306353829237125,0.7245508982035929,0.43010752688172044,0.34615384615384615,0.7863247863247863,0.4816753926701571,0.5974025974025974,191,fair_hu_petaware_final,0.8,0.2,0.63,0.4,0.3
0.5717842643909864,0.5717842643909864,0.5306353829237125,0.7245508982035929,0.43010752688172044,0.34615384615384615,0.7863247863247863,0.4816753926701571,0.5974025974025974,191,fair_hu_petaware_final,0.85,0.15,0.63,0.4,0.3
0.5715120037604101,0.5715120037604101,0.5597382825409142,0.6946107784431138,0.5340501792114696,0.45054945054945056,0.6068376068376068,0.5338345864661654,0.5680000000000001,133,fair_hu_geom_petaware_final,0.3,0.7,0.63,0.46,0.35
0.5713055161094567,0.5713055161094567,0.5343188485051517,0.7005988023952096,0.4551971326164875,0.3516483516483517,0.7777777777777778,0.4789473684210526,0.5928338762214983,190,fair_hu_petaware_final,0.05,0.95,0.62,0.4,0.3
0.5712168950530936,0.5712168950530936,0.5586501263389793,0.7005988023952096,0.5268817204301075,0.45054945054945056,0.6068376068376068,0.5298507462686567,0.5657370517928286,134,fair_hu_geom_petaware_final,0.1,0.9,0.63,0.45,0.35
0.5710211386278607,0.5710211386278607,0.5306627589515249,0.7245508982035929,0.43010752688172044,0.3516483516483517,0.7777777777777778,0.4789473684210526,0.5928338762214983,190,fair_hu_petaware_final,0.3,0.7,0.63,0.4,0.3
0.5710211386278607,0.5710211386278607,0.5306627589515249,0.7245508982035929,0.43010752688172044,0.3516483516483517,0.7777777777777778,0.4789473684210526,0.5928338762214983,190,fair_hu_petaware_final,0.35,0.65,0.63,0.4,0.3
0.5704746421136222,0.5704746421136222,0.529169085787397,0.7245508982035929,0.5017921146953405,0.2692307692307692,0.7863247863247863,0.4791666666666667,0.5954692556634305,192,fair_hu_petaware_final,0.9,0.1,0.63,0.47,0.3
0.5704094587617864,0.5704094587617864,0.5332524090725766,0.7005988023952096,0.45161290322580644,0.3516483516483517,0.7777777777777778,0.4789473684210526,0.5928338762214983,190,fair_hu_petaware_final,0.1,0.9,0.62,0.4,0.3
0.5704094587617864,0.5704094587617864,0.5332524090725766,0.7005988023952096,0.45161290322580644,0.3516483516483517,0.7777777777777778,0.4789473684210526,0.5928338762214983,190,fair_hu_petaware_final,0.15,0.85,0.62,0.4,0.3
0.5704094587617864,0.5704094587617864,0.5332524090725766,0.7005988023952096,0.45161290322580644,0.3516483516483517,0.7777777777777778,0.4789473684210526,0.5928338762214983,190,fair_hu_petaware_final,0.2,0.8,0.62,0.4,0.3
0.5704094587617864,0.5704094587617864,0.5332524090725766,0.7005988023952096,0.45161290322580644,0.3516483516483517,0.7777777777777778,0.4789473684210526,0.5928338762214983,190,fair_hu_petaware_final,0.25,0.75,0.62,0.4,0.3
0.5703897651937058,0.5703897651937058,0.5234636190984259,0.7005988023952096,0.4551971326164875,0.2967032967032967,0.8290598290598291,0.4470046082949309,0.5808383233532934,217,fair_hu_petaware_final,0.0,1.0,0.62,0.4,0.26
0.5691296716504365,0.5691296716504365,0.5550713887388307,0.7065868263473054,0.5125448028673835,0.45054945054945056,0.6068376068376068,0.5298507462686567,0.5657370517928286,134,fair_hu_geom_petaware_final,0.0,1.0,0.64,0.45,0.35
0.5691296716504365,0.5691296716504365,0.5550713887388307,0.7065868263473054,0.5125448028673835,0.45054945054945056,0.6068376068376068,0.5298507462686567,0.5657370517928286,134,fair_hu_geom_petaware_final,0.05,0.95,0.64,0.45,0.35
