feature_table,feature_set,model,mode,n,balanced_accuracy,macro_recall,macro_f1,T1_recall,T2_recall,T3_recall,T4_recall,T4_precision,T4_f1,n_pred_T4,w_T1,w_T2,w_T3,w_T4,thr_ge_T2,thr_ge_T3,thr_ge_T4,source_file
pred_oof_headneck_hu_realgeom_predmask_petaware,baseline_plus_hu_geom,rf_subsample_leaf2,tuned_posthoc_t3_to_t4,745,0.570497873448424,0.570497873448424,0.5227770864739408,0.7964071856287425,0.4336917562724014,0.2912087912087912,0.7606837606837606,0.4684210526315789,0.5798045602605864,190,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_petaware/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_final,baseline,rf_depth12_leaf1,tuned_posthoc_t3_to_t4,745,0.5702999648817689,0.5702999648817689,0.5453322819700261,0.6766467065868264,0.5483870967741935,0.3296703296703296,0.7264957264957265,0.4829545454545454,0.5802047781569966,176,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_final/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_petaware,baseline,rf_depth12_leaf1,tuned_posthoc_t3_to_t4,745,0.5702999648817689,0.5702999648817689,0.5453322819700261,0.6766467065868264,0.5483870967741935,0.3296703296703296,0.7264957264957265,0.4829545454545454,0.5802047781569966,176,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_petaware/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom,baseline_plus_hu_geom,rf_leaf2,proba_weight_tuned,745,0.5702774116189222,0.5702774116189222,0.540406843126044,0.718562874251497,0.4874551971326165,0.3571428571428571,0.717948717948718,0.4745762711864407,0.5714285714285714,177,1.0,0.7,0.8999999999999999,1.2999999999999998,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_petaware,baseline_plus_hu,rf_depth12_leaf1,tuned_posthoc_t3_to_t4,745,0.5697433267695968,0.5697433267695968,0.5435274226884794,0.6706586826347305,0.5161290322580645,0.3571428571428571,0.7350427350427351,0.4858757062146893,0.5850340136054422,177,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_petaware/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom,baseline,rf_depth12_leaf1,tuned_posthoc_t3_to_t4,745,0.5696894642712684,0.5696894642712684,0.5435561799082637,0.6766467065868264,0.5483870967741935,0.3186813186813186,0.7350427350427351,0.4858757062146893,0.5850340136054422,177,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom,baseline,rf_subsample_leaf2,tuned_posthoc_t3_to_t4,745,0.5686500389272264,0.5686500389272264,0.5404889676486035,0.6646706586826348,0.4982078853046595,0.3681318681318681,0.7435897435897436,0.4702702702702703,0.5761589403973509,185,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_final,baseline_plus_hu,rf_subsample_leaf2,proba_weight_tuned,745,0.568519259484104,0.568519259484104,0.5153053661574862,0.8083832335329342,0.3942652329749104,0.3021978021978022,0.7692307692307693,0.4522613065326633,0.569620253164557,199,1.0,0.6,0.7,1.1,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_final/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_petaware,baseline_plus_hu,rf_subsample_leaf2,tuned_posthoc_t3_to_t4,745,0.568151597077616,0.568151597077616,0.5353397571359341,0.6407185628742516,0.5268817204301075,0.3186813186813186,0.7863247863247863,0.4554455445544554,0.5768025078369906,202,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_petaware/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_petaware,baseline_plus_hu_geom,rf_leaf1,proba_weight_tuned,745,0.5681441972488911,0.5681441972488911,0.5111278272262403,0.7904191616766467,0.4229390681003584,0.2472527472527472,0.811965811965812,0.4702970297029702,0.5956112852664577,202,1.0,0.5,0.6,1.1999999999999995,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_petaware/summary_rf_only_tstage.csv
